station,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
伊勢原,0,4.05E-05,1.98E-05,1.93E-05,5.88E-05,5.80E-05,1.93E-05,0,0,0,0
愛甲石田,0,0,0,0,0,1.95E-05,1.92E-05,0,0,0,0
吉祥寺,0,7.22E-06,7.27E-06,7.22E-06,7.18E-06,0,0,3.53E-06,0,0,0
下赤塚,0,5.66E-05,5.74E-05,0.000115427,5.94E-05,5.93E-05,0.000121315,0.000120839,0,0,0
穂積,0,0,0,0,0,0,0,0,0,0,0
一橋学園,0,0,4.96E-05,0,0,0,0,0,0,0,0
北小松,0,0,0,0,0,0,0,0,0,0,0
刈谷,0,0,0,0,0,0,0,0,0,0,0
園田,0,0,8.76E-05,2.91E-05,2.93E-05,0,3.28E-05,6.51E-05,0,0,0
本厚木,0,7.13E-06,0,2.04E-05,6.76E-06,1.31E-05,0,6.53E-06,0,0,0
新白岡,0,0.000160849,0,0,0,0,0,0,0,0,0
本巣,0,0,0,0,0,0,0,0,0,0,0
市川,0,2.54E-05,2.57E-05,1.71E-05,1.69E-05,1.71E-05,8.35E-06,8.26E-06,0,0,0
犬山遊園,0,0,0,0,0,0,0,0,0,0,0
土浦,0,0,0,0,0,0,3.08E-05,0,0,0,0
阿久根,0,0,0.001404494,0,0,0,0,0,0,0,0
旗の台,0,0,2.72E-05,0,0,0,0,0,0,0,0
日進,0,0,0,0,0,0,0,0,0,0,0
川西池田,0,0,0,0,0,2.53E-05,0,0,0,0,0
島田,0,0,0,0,0,0,0,0,0,0,0
宮原,0,0,2.17E-05,0,0,0,0,0,0,0,0
あわら湯のまち,0,0,0,0,0,0,0,0,0,0,0
津山,0,0.000244858,0,0,0,0,0,0,0,0,0
高横須賀,0,0,0,0,0,0,0,0,0,0,0
東岩槻,0,0,0,0,0,0,0,0,0,0,0
上尾,0,1.23E-05,1.24E-05,1.22E-05,3.58E-05,1.21E-05,2.39E-05,1.20E-05,0,0,0
安芸中野,0,0,0,0,0,0,0,0.000166196,0,0,0
入曽,0,0.000158353,5.36E-05,0,0.000109129,0,0.000109421,0,0,0,0
浦山口,0,0.005,0,0,0,0,0,0,0,0,0
武州荒木,0,0,0,0,0,0.002754821,0,0.002702703,0,0,0
熱海,0,5.39E-05,0,0,0,5.22E-05,0,0,0,0,0
小田渕,0,0,0,0,0,0,0,0,0,0,0
西新井,0,0,0,0,0,0,0,0,0,0,0
千畳敷,0,0,0,0,0,0,0,0,0,0,0
五日市,0,0,0,3.73E-05,0,7.41E-05,3.68E-05,3.67E-05,0,0,0
栗橋,0,0,8.94E-05,9.00E-05,0,9.11E-05,0.000269833,0,0,0,0
東花園,0,0,6.03E-05,0,0,0,0,0.000112101,0,0,0
新前橋,0,0,0,0,0,0,0,0,0,0,0
籠原,0,3.36E-05,0.000100929,3.38E-05,6.62E-05,3.40E-05,0,0,0,0,0
大磯,0,0,0,6.52E-05,0.000126135,6.38E-05,0,0,0,0,0
二日市,0,0,0,0,0,0,0,0,0,0,0
庄内,0,0,0,0,6.23E-05,0,3.57E-05,3.53E-05,0,0,0
元山,0,0,5.35E-05,0,0,0,0.000107406,0,0,0,0
善通寺,0,0,0,0,0.000356379,0.00069541,0.000685871,0.000344353,0,0,0
木太町,0,0,0,0,0,0,0,0,0,0,0
野方,0,0,4.43E-05,4.36E-05,0,0,8.18E-05,0,0,0,0
武蔵境,0,2.43E-05,3.28E-05,7.97E-06,0,1.53E-05,0,0,0,0,0
堺東,0,1.69E-05,1.66E-05,3.31E-05,1.67E-05,1.67E-05,1.67E-05,0,0,0,0
九段下,0,0,0,1.08E-05,2.04E-05,0,0,0,0,0,0
新倉敷,0,0,0,0,0,0,0,0,0,0,0
大府,0,0,0,0,0,0,0,0,0,0,0
藤井寺,0,0,2.71E-05,0,0,0,0,5.49E-05,0,0,0
本郷,0,8.82E-05,0.000134523,4.36E-05,0,8.47E-05,0.000127318,0,0,0,0
長都,0,0,0.000456204,0.00043592,0,0,0,0,0,0,0
中井,0,0,0,0.000131199,4.27E-05,4.14E-05,4.06E-05,0,0,0,0
小林,0,0,0,0,0.000228519,0,0,0,0,0,0
秋鹿町,0,0,0,0,0,0,0,0,0,0,0
香登,0,0,0,0,0,0,0,0,0,0,0
伊豆多賀,0,0,0,0,0,0,0,0,0,0,0
ハーモニーホール,0,0,0,0,0,0,0,0,0,0,0
町田,0,9.17E-06,9.17E-06,1.36E-05,4.51E-06,9.07E-06,0,0,0,0,0
昭和町,0,4.40E-05,4.35E-05,4.26E-05,0,0,4.12E-05,0,0,0,0
上小田井,0,0,0,0,0,0,0,0,0,0,0
上州七日市,0,0,0,0,0,0,0,0,0,0,0
住道,0,0,0,0,0,0,1.59E-05,0,0,0,0
西岡崎,0,0,0,0,0,0,0,0,0,0,0
向島,0,0,6.23E-05,0.000124611,6.23E-05,0.000121087,0,0.000181631,0,0,0
住吉,0,2.63E-05,0,2.53E-05,0,0.00012123,2.35E-05,2.26E-05,0,0,0
高崎,0,0,0,0,0,0,0,0,0,0,0
久喜,0,4.05E-05,3.94E-05,0,1.97E-05,3.89E-05,3.86E-05,3.81E-05,0,0,0
神奈川,0,0,0.000204248,0.000211864,0,0,0,0,0,0,0
笠松,0,0,0,0,0,0,0,0,0,0,0
東久留米,0,1.93E-05,1.90E-05,5.60E-05,0,0,1.84E-05,1.82E-05,0,0,0
小田急相模原,0,1.84E-05,3.60E-05,3.52E-05,3.60E-05,5.33E-05,0,0,0,0,0
三保三隅,0,0,0,0,0,0,0,0,0,0,0
下北沢,0,0,0,0,0,0,0,0,0,0,0
笹原,0,0,0,0,0,0,0,0,0,0,0
浜田山,0,3.55E-05,0,3.44E-05,0,3.35E-05,3.31E-05,0,0,0,0
新宿,0,4.07E-06,2.04E-06,2.69E-06,3.99E-06,3.34E-06,2.63E-06,6.50E-07,0,0,0
布施屋,0,0,0,0,0,0,0.001396648,0,0,0,0
柴崎,0,5.82E-05,0,5.77E-05,0,0,5.74E-05,5.51E-05,0,0,0
京成立石,0,0,0,2.75E-05,0,0,2.64E-05,0,0,0,0
中板橋,0,3.85E-05,7.54E-05,0,0,0,0,0,0,0,0
佐野,0,0.000681431,0.000652103,0.000625195,0.000618812,0,0,0,0,0,0
西太子堂,0,0,0,0,0,0,0,0,0,0,0
泉大津,0,0,0,0,3.82E-05,3.67E-05,0,0,0,0,0
勝田台,0,1.93E-05,0,0,0,0,0,0,0,0,0
堀切菖蒲園,0,5.08E-05,0,4.93E-05,0,4.77E-05,0.000138895,0,0,0,0
川尻,0,0,0,0,0,0,0,0,0,0,0
可児川,0,0,0,0,0,0,0,0,0,0,0
塩崎,0,0,0,0,0.000445236,0,0,0,0,0,0
由比,0,0,0,0,0,0,0,0,0,0,0
古井,0,0,0,0,0,0,0,0,0,0,0
八日市,0,0.000314465,0,0,0,0,0,0,0,0,0
在良,0,0,0,0,0,0,0,0,0,0,0
大久保,0,8.22E-05,2.08E-05,2.05E-05,6.05E-05,2.02E-05,0,3.79E-05,0,0,0
大和高田,0,5.95E-05,0,6.33E-05,0,6.08E-05,0.00012161,0,0,0,0
藤森,0,0,0,0,0,0,7.03E-05,0,0,0,0
練馬,0,2.87E-05,0,0,0,1.30E-05,0,0,0,0,0
根府川,0,0,0,0,0,0,0,0,0,0,0
西国分寺,0,0,0,0,0,0,0,0,0,0,0
丹波口,0,0,0,0,0,0,0,0,0,0,0
滝谷,0,0.000179404,0,0,0,0.000182682,0,0,0,0,0
和泉府中,0,6.25E-05,6.12E-05,2.94E-05,8.83E-05,2.87E-05,0,2.84E-05,0,0,0
上ゲ,0,0,0,0,0,0,0,0,0,0,0
博多,0,0,0,0,0,0,0,0,0,0,0
十日町,0,0,0,0,0,0,0,0,0,0,0
